review_number,brand,variety,style,country,stars,continent
1326,Mamee,Mi Segera SLLRRRP! Perencah Kari Xtra Pedas,Pack,Malaysia,4,Asia
1321,Takamori Kosan,Fresh Chow Mein Noodles With Seasoning,Pack,Japan,4,Asia
1320,Mama,Instant Noodles Cup Seafood Flavour,Cup,Thailand,4,Asia
1312,Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,4,Asia
1309,Yum Yum,Oriental Style Instant Noodles Seafood Flavour,Cup,Thailand,4,Asia
1307,Nissin,Cup Noodle Cheese Curry,Cup,Japan,4,Asia
1305,A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,4,Asia
1288,Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,Hong Kong,4,Asia
1274,Wu-Mu,Shiitake Flavor Spinach Ramen,Pack,Taiwan,4,Asia
1267,ABC,Mi Cup Rasa Soto Ayam Chicken Soto Flavour,Cup,Indonesia,4,Asia
1265,ABC,Rasa Ayam Bawang Chicken Onion Flavour,Cup,Indonesia,4,Asia
1262,ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Cup,Indonesia,4,Asia
1261,Eat & Go,Rasa Baso Sapi Meat Ball Mi Instan Cup,Cup,Indonesia,4,Asia
1259,Eat & Go,Chicken Onion Mi Instan Cup,Cup,Indonesia,4,Asia
1253,Nissin,Chow Mein Teriyaki Chicken Flavor Chow Mein Noodles,Tray,United States,4,North America
1250,Samyang Foods,三養라면 (Samyang Ramyun) (South Korean Version),Bowl,South Korea,4,Asia
1244,Unif,Unif-100 Pickled Cayenne Flavor Beef Ramen,Pack,China,4,Asia
1241,Nissin,Donbei Kansai Soy Sauce Flavor Udon,Pack,Japan,4,Asia
1235,Nissin,Demae Ramen Miso Tonkotsu Artificial Pork Flavor Ramen Noodle,Pack,Hong Kong,4,Asia
1231,A-Sha Dry Noodle,Instant Noodle Shallot Flavor,Pack,Taiwan,4,Asia
1228,Maruchan,Seimen Japanese Instant Ramen Noodles Shio Aji,Pack,Japan,4,Asia
1226,Master Kong,Artificial Braised Beef Flavor Instant Noodle,Bowl,China,4,Asia
1225,Nissin,Pan Asian Kitchen Sweet & Sour Chicken Flavor Ramen Noodles,Tray,United States,4,North America
1222,Nissin,Soba Classic Noodles With Japanese Yakisoba Sauce,Cup,Germany,4,Europe
1218,Sau Tao,Ho Fan Beef Soup Flavored,Pack,China,4,Asia
1200,Men-Sunaoshi,Tonkotsu Ramen,Pack,Japan,4,Asia
1199,Mama,Instant Noodles Chicken Green Curry Flavour,Pack,Thailand,4,Asia
1193,Nissin,Soba Curry Noodles With Japanese Yakisoba Sauce,Cup,Germany,4,Europe
1192,Wu-Mu,Ramen With Simmered Pork Flavor,Pack,Taiwan,4,Asia
1190,Sanrio,Hello Kitty Hakata Shoyutonkotsu Ramen,Bowl,Japan,4,Asia
1186,Nissin,Sabor A Carne Sopa Instantánea Con Fideos,Pack,Colombia,4,South America
1182,Ko-Lee,Go Noodles Xtreme Hot & Spicy Flavour,Pack,UK,4,Europe
1180,Wei Lih,What’s That? Leisure Meatballs Spicy Chicken Flavor,Pack,Taiwan,4,Asia
1170,Acecook,Jan Jan Yakisoba,Cup,Japan,4,Asia
1167,Kabuto Noodles,Miso Ramen,Cup,UK,4,Europe
1165,Nissin,Chow Mein With Shrimp Chow Mein Noodles,Tray,United States,4,North America
1161,GaGa,100 Green Chilli Soto Flavour,Pack,Indonesia,4,Asia
1160,Samyang Foods,Chacharoni,Pack,South Korea,4,Asia
1156,Vifon,Oriental Style Instant Vermicelli Sour Crab Flavour Soup,Pack,Vietnam,4,Asia
1151,Asian Thai Foods,Fatafat Vegetable Flavor,Pack,Nepal,4,Asia
1145,Asian Thai Foods,Fatafat Chicken Flavor,Pack,Nepal,4,Asia
1139,Asian Thai Foods,Gaurav Chicken Seasoning,Pack,Nepal,4,Asia
1137,Koka,Oriental Style Instant Noodles Crab Flavour,Pack,Singapore,4,Asia
1133,Kamfen,E-Men Noodles Abalone Soup Flavor,Pack,Hong Kong,4,Asia
1131,Wei Lih,What’s That? Leisure Meatballs Chicken Flavor,Pack,Taiwan,4,Asia
1121,Sau Tao,Oat Noodle Sesame Oil Flavored,Pack,China,4,Asia
1119,Ko-Lee,Taste Sensation Instant Noodles Curry Flavour,Pack,UK,4,Europe
1115,Nissin,Pan Asian Kitchen Sukiyaki Beef Flavor Savory Soy Sauce Ramen Noodles,Tray,United States,4,North America
1112,Mama,Oriental Style Instant Kua-Chap Clear Soup,Pack,Thailand,4,Asia
1100,Baltix,Instant Noodles With Chicken Flavour Broth,Pack,Estonia,4,Europe
1098,Tropicana Slim,Low Fat Noodles Hainan Chicken,Pack,Indonesia,4,Asia
1097,Amianda,Homely Dried Noodles - Sesame Pate,Pack,Taiwan,4,Asia
1088,Amianda,Tachia Dried Noodles - Peppery,Pack,Taiwan,4,Asia
1078,Deshome,Black Eyed Beans Noodle Spicy Soybean Sauce & Sesame Sauce,Pack,Taiwan,4,Asia
1076,Deshome,Black Eyed Beans Noodle Vegetable Sauce & Sesame Sauce,Pack,Taiwan,4,Asia
1073,Deshome,Black Eyed Bean Noodle Red Onion Sauce & Sesame Sauce,Pack,Taiwan,4,Asia
1068,Koka,Oriental Instant Noodles Stir Fried Noodles,Pack,Singapore,4,Asia
1067,Nissin,Cup Noodle Red Shock,Cup,Japan,4,Asia
1063,Tasty Bite,1 Step-1 Minute Asian Noodles Thai Basil,Pack,United States,4,North America
1062,Tasty Bite,1 Step-1 Minute Asian Noodles Lemongrass Ginger,Pack,United States,4,North America
1060,Star Anise Foods,Happy Pho Vietnamese Brown Rice Noodle Soup Garlic Goodness,Pack,United States,4,North America
1054,A-Sha Dry Noodle,No. 10 Mandarin Noodle - Black Pepper Sauce,Pack,Taiwan,4,Asia
1051,Maruchan,Seimen Japanese Instant Ramen Noodles Soy Sauce Taste,Pack,Japan,4,Asia
1033,Nissin,King Cup Noodle BBQ Chicken & Onion,Cup,Japan,4,Asia
1030,Samyang Foods,60 Ingredients Assorted Vegetable SK Version,Pack,South Korea,4,Asia
1026,Samyang Foods,Bajirak Kalgugsu,Pack,South Korea,4,Asia
1025,Samyang Foods,Hot Chacharoni,Pack,South Korea,4,Asia
1017,Samyang Foods,Sutah (SK Version),Pack,South Korea,4,Asia
1010,Golden Wheat,Korean Style Spicy Beef Noodle Soup,Bowl,China,4,Asia
983,Sun Noodle,Tantanmen Spicy Sesame (Mild),Tray,United States,4,North America
965,Annie Chun's,Noodle Express Chinese Chow Mein,Tray,United States,4,North America
950,Ottogi,Kiss Myon,Cup,South Korea,4,Asia
941,Ko-Lee,Go Noodles Chicken Special,Pack,UK,4,Europe
939,Pot Noodle,Sweet & Sour,Cup,UK,4,Europe
938,Maruchan,Yakisoba Four Cheese,Tray,United States,4,North America
937,Mama,Shrimp (TOM YUM),Pack,Thailand,4,Asia
931,Kamfen,dried Mix Noodles Soya Bean Paste,Tray,China,4,Asia
929,Vina Acecook,Good Artificial Minced Pork Bean Vermicelli,Pack,Vietnam,4,Asia
925,Emart,Dare You! Habanero Ramen,Pack,South Korea,4,Asia
924,Maruchan,35% Less Sodium Chicken,Pack,United States,4,North America
912,Maruchan,Instant Lunch Shrimp,Cup,United States,4,North America
911,Nissin,Top Ramen Cucharealo Habanero Shrimp,Pack,United States,4,North America
878,Nissin,Top Ramen Short Cuts Lime Chili,Pack,United States,4,North America
870,SuperMi,Mi Keriting Rasa Ayam Bawang,Pack,Indonesia,4,Asia
868,CJ CheilJedang,Katsuobushi Udon,Bowl,South Korea,4,Asia
859,Tradition,Imitation Chicken Vegetarian,Cup,United States,4,North America
846,Vifon,Mi Kim Chee,Pack,Vietnam,4,Asia
842,JML,Artificial Stew Beef,Bowl,China,4,Asia
840,Chewy,Stir Rice Vermicelli Singaporean Laksa,Tray,China,4,Asia
834,Indomie,Mi Goreng Kriuuk Pedas,Pack,Indonesia,4,Asia
832,Dragonfly,Mee Goreng Dry Ramen Noodles,Pack,China,4,Asia
820,Sunlee,Tom Yum Shrimp Rice Stick,Bowl,Thailand,4,Asia
817,Souper,Bowl Ramen Shrimp,Bowl,Taiwan,4,Asia
816,Vina Acecook,Oh! Ricey Phnom Penh Rice Noodle,Pack,Vietnam,4,Asia
812,Master Kong,Spicy Beef,Pack,China,4,Asia
801,Gau Do,Hot Sour Shrimp,Pack,Vietnam,4,Asia
797,Golden Mie,Vegetable,Pack,Dubai,4,Asia
779,Indomie,Mi Goreng Kriuuk Ayam,Pack,Indonesia,4,Asia
776,Sarimi,Isi 2 Rasa Kari spesial,Pack,Indonesia,4,Asia
766,Fashion Foods,Beef Pho,Bowl,Thailand,4,Asia
759,Nongshim,Bowl Noodle Savory Lobster (New),Bowl,United States,4,North America
756,Daikoku,Bikkuchigekara Big Chige,Bowl,Japan,4,Asia
754,Nongshim,Ansungtangmyun (US Version),Pack,United States,4,North America
750,Nongshim,Bowl Noodle Spicy Kimchi (New),Bowl,United States,4,North America
748,Hosoonyi,Naengmyeon Combo,Bowl,United States,4,North America
743,Mamee,Express Cup Tom Yum,Cup,Malaysia,4,Asia
738,Nissin,U.F.O. Yakiosoba,Bowl,Japan,4,Asia
720,Golden Mie,Chicken Curry,Pack,Dubai,4,Asia
718,Ottogi,Kiss Myon,Pack,South Korea,4,Asia
716,Vifon,Hu Tieu Ca Stewed Fish,Bowl,Vietnam,4,Asia
714,Pulmuone,Nature Is Delicious Spicy,Pack,South Korea,4,Asia
692,Samyang,Assorted Vegetable Ramen,Pack,South Korea,4,Asia
690,Maruchan,Yakisoba Savory Soy Sauce,Tray,United States,4,North America
688,Ohsung,Hong Ramyun Soy Peptide Hot Spicy,Pack,South Korea,4,Asia
687,Nissin,Cup Noodles Xo Sauce Seafood,Cup,Hong Kong,4,Asia
684,Dragonfly,Artificial Seafood,Pack,China,4,Asia
681,Nongshim,Hearty Rice Noodle Black Bean Vegetable,Pack,South Korea,4,Asia
660,Lucky Me!,Beef Na Beef,Pack,Philippines,4,Asia
657,Dragonfly,Onion,Pack,China,4,Asia
656,Nissin,Ramen Bowl Hot & Spicy,Bowl,United States,4,North America
649,Pot Noodle,Chicken & Mushroom,Cup,UK,4,Europe
648,Nongshim,Seafood Ramyun,Pack,South Korea,4,Asia
645,Nongshim,Oolongmen Artificial Chicken,Cup,South Korea,4,Asia
644,Sura,Knife Cut Rice Noodle,Bowl,South Korea,4,Asia
627,Omachi,Spaghetti,Pack,Vietnam,4,Asia
624,Master Kong,Artificial Pork,Pack,China,4,Asia
617,Nissin,Demae Iccho Sesame Oil Chicken Macaroni,Pack,Japan,4,Asia
609,Wei Wei,"""A"" Series Artificial Hot Beef",Pack,Taiwan,4,Asia
603,Wei Lih,Goog Good Eat Super Ramen Hot Chili,Pack,Taiwan,4,Asia
595,Thai Kitchen,Spring Onion Rice Noodle,Pack,United States,4,North America
576,Menraku,Tempura Soba,Bowl,Japan,4,Asia
574,Maggi,2 Minute Noodles Tricky Tomato,Pack,India,4,Asia
564,Uni-President,One More Cup Kimchi,Cup,Taiwan,4,Asia
557,Batchelors,Super Noodles Souther Fried Chicken,Pack,UK,4,Europe
548,Pot Noodle,Original Curry,Cup,UK,4,Europe
528,Unox,Good Noodles Vegetable,Pack,Holland,4,Europe
525,JML,Artificial Spicy Hot Beef,Pack,China,4,Asia
524,Nissin,Cup Noodles Spicy Seafood,Cup,Hong Kong,4,Asia
512,Paldo,Big Bowl Noodle,Bowl,South Korea,4,Asia
510,Snapdragon,South Korean Kimchi Rice Noodle,Cup,Singapore,4,Asia
508,Samyang,Beef,Cup,South Korea,4,Asia
507,Dragonfly,Artificial Seafood,Bowl,China,4,Asia
491,JML,Artificial Stew Beef,Pack,China,4,Asia
481,Thai Kitchen,Roasted Garlic Rice Noodle,Bowl,United States,4,North America
479,Nongshim,Potato Noodle Soup,Pack,South Korea,4,Asia
474,Saigon Ve Wong,Kung Fu Rice Noodle Shrimp Crab,Bowl,Vietnam,4,Asia
472,Thai Kitchen,Spring Onion Rice Noodle,Bowl,United States,4,North America
468,Paldo,Snack Noodle slightly Hot,Pack,South Korea,4,Asia
458,Ve Wong,Kung Fu Artificial Beef Rice Noodle,Bowl,Taiwan,4,Asia
456,Ve Wong,Kung Fu Artificial Szechuan Pork,Bowl,Taiwan,4,Asia
448,Ve Wong,Kung Fu Artificial Sesame Chicken,Bowl,Taiwan,4,Asia
441,Ottogi,Spice Seafood,Pack,South Korea,4,Asia
438,Samyang,Beef,Bowl,South Korea,4,Asia
436,Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,4,Asia
429,Quickchow,Chicken Mami,Pack,Philippines,4,Asia
428,Kamfen,E Menm Chicken,NA,China,4,Asia
418,iNoodle,Udon Noodle Soup Oriental,Pack,Taiwan,4,Asia
416,Sapporo Ichiban,Chicken Flavor,Cup,United States,4,North America
415,Ve Wong,Artificial Classic Beef,Bowl,Taiwan,4,Asia
410,Lucky Me!,Instant Bulalo Bone Marrow,Pack,Philippines,4,Asia
406,Vifon,Asian Style Instant Noodles Beef,Pack,Vietnam,4,Asia
404,Vina Acecook,Hao Hao Sate Onion,Pack,Vietnam,4,Asia
399,Paldo,Spicy Seafood,Cup,South Korea,4,Asia
398,Paldo,Bowl Noodle Beef With Vegetables,Bowl,South Korea,4,Asia
387,Nissin,Bowl Noodles Rich & Savory Beef,Bowl,United States,4,North America
380,Rhee Bros Assi,Pho Vietnamese Noodle Soup,Tray,South Korea,4,Asia
378,Ve Wong,Hot Of Hots Artificial Satay Beef,Bowl,Taiwan,4,Asia
374,Vifon,Asian Style Instant Noodles Shrimp,Pack,Vietnam,4,Asia
371,Nissin,Chow Noodles Alfredo,Tray,United States,4,North America
369,Bon Go Jang,Tofu Udon Dosirak,Tray,South Korea,4,Asia
359,Nissin,Bowl Noodles Hot & Spicy Beef,Bowl,United States,4,North America
358,Doll,Spicy Artificial Pork,Pack,Hong Kong,4,Asia
344,Paldo,Stirfried Kimchi,Pack,South Korea,4,Asia
341,Vina Acecook,Daily Vegetarian,Pack,Vietnam,4,Asia
332,Nongshim,Champong Oriental Noodles,Cup,South Korea,4,Asia
322,Unif,Shrimp Fish,Bowl,Taiwan,4,Asia
319,Maruchan,Ramen Noodle Soup Oriental,Pack,United States,4,North America
309,Paldo,Dosirac Beef,Tray,South Korea,4,Asia
308,Tradition,Imitation Chicken Vegetarian,Pack,United States,4,North America
306,Rhee Bros Assi,Rice Noodle Anchovy Flavor,Tray,South Korea,4,Asia
305,Lucky Me!,Supreme Special Beef Carne De Vaca,Bowl,Philippines,4,Asia
302,Samyang,Bowl Noodle Picante Beef,Bowl,South Korea,4,Asia
299,Lucky Me!,Supreme Sotanghon Artificial Chicken Vermicelli,Bowl,Philippines,4,Asia
294,Paldo,South Korean Seafood,Pack,South Korea,4,Asia
292,Paldo,South Korean U Dong,Pack,South Korea,4,Asia
287,Paldo,King Cup Lobster,Cup,South Korea,4,Asia
279,Rhee Bros Assi,Rice Noodles Seafood,Tray,South Korea,4,Asia
275,Mama,Cup Shrimp Tom Yum Flavor,Cup,Thailand,4,Asia
264,Vina Acecook,Hao Hao Sour Hot Shrimp,Pack,Vietnam,4,Asia
262,Vina Acecook,Daily Beef Ball,Pack,Vietnam,4,Asia
261,Vina Acecook,Oh! Ricey Chicken,Pack,Vietnam,4,Asia
255,Mama,Oriental Kitchen Spicy Seafood,Cup,Thailand,4,Asia
250,Wu Mu,Steamed Noodle Sesame Oil,Pack,Taiwan,4,Asia
249,Unif,100 Artificial Spicy Beef,Pack,Taiwan,4,Asia
245,Six Fortune,Broad Noodles,Pack,South Korea,4,Asia
234,Myojo,Udon Shrimp,Pack,Japan,4,Asia
230,Lucky Me!,Supreme Instant Mami Noodles With Free Crackers,Bowl,Philippines,4,Asia
229,Myojo,Udon Chicken,Pack,Japan,4,Asia
225,Ottogi,Snack Ramyon,Pack,South Korea,4,Asia
221,Nissin,Top Ramen Beef,Pack,United States,4,North America
212,Maruchan,Yakisoba Roast chicken,Tray,United States,4,North America
185,Shirakiku,Sanukiya Udon,Bowl,Japan,4,Asia
184,Myojo,Chukazanmai Soy Sauce,Pack,Japan,4,Asia
177,Vifon,Hu Tieu Bo Kho An Lien Beef,Pack,Vietnam,4,Asia
172,Mama,Flat Noodle Tom Yum,Pack,Thailand,4,Asia
171,Samyang,Japanese Seafood Flavor Udon,Pack,South Korea,4,Asia
168,JFC,Japanese Style Noodle Fresh Udon,Bowl,Japan,4,Asia
164,Unif / Tung-I,Artificial Beef Flavor,Pack,Taiwan,4,Asia
162,Myojo,Chukazanmai Oriental,Pack,Japan,4,Asia
148,Myojo,Okinawa Soba,Pack,Japan,4,Asia
118,Paldo,Bibim Men,Pack,South Korea,4,Asia
112,Ottogi,Jiajang Noodle,Pack,South Korea,4,Asia
96,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Pack,Vietnam,4,Asia
85,Nissin,Demae Ramen Sesame,Pack,Japan,4,Asia
33,Koka,Mi Hai Tom Prawn,Pack,Singapore,4,Asia
22,Nongshim,Ansungtangmyun Noodle Soup,Pack,South Korea,4,Asia
3170,Maison de Coree,Ramen Gout Carbonara,Cup,France,4,Europe
3147,Samyang Foods,Buldak Mini,Pack,South Korea,4,Asia
3145,Maison de Coree,Ramen Gout Poulet Feu,Cup,France,4,Europe
3139,A-Sha,Guanmiao Noodle Spicy Fennel,Pack,Taiwan,4,Asia
3119,Daikoku,Tempura Soba,Bowl,Japan,4,Asia
3111,Maruchan,Soy Milk Tan-Tan Wantanmen,Bowl,Japan,4,Asia
3110,Maruchan,QTTA Hamburger Ramen,Cup,Japan,4,Asia
3102,Myojo,Spicy Barikata Tonkotsu Mazesoba,Bowl,Japan,4,Asia
3097,Yum Yum,Tem Tem Squid With Lime,Cup,Thailand,4,Asia
3091,Way Premium Foods,Authentic Chili Crab Noodles,Box,Malaysia,4,Asia
3066,Nissin,Cup Noodles Camaron Fuego,Cup,Mexico,4,South America
3056,Nissin,Cup Noodles Soup'D Up Savory Shrimp,Cup,United States,4,North America
3049,New Touch,Kimchi Ramen,Bowl,China,4,Asia
3045,Samyang Foods,Buldak Bokkeummyun Hot Chicken Flavor Gyoza Dumpling,Pack,South Korea,4,Asia
3043,San-Iku,Shoyu Ramen,Pack,Japan,4,Asia
3040,Fantastic Noodles,Scallion Sauce,Pack,Taiwan,4,Asia
3039,Fantastic Noodles,Spicy Dolar,Pack,Taiwan,4,Asia
3038,Wu-Mu,Jing Xiang Ban Mian Ramen with Fried Green Onio,Pack,Taiwan,4,Asia
3033,TTL,Bolognese Red Wine Sauce,Pack,Taiwan,4,Asia
3027,Sapporo Ichiban,Shio Donburi,Bowl,Japan,4,Asia
3012,Samyang Foods,Sriracha Ramen Snack,Pack,South Korea,4,Asia
3004,Wei Lih,Hell Spicy Dry Noodle With Soup,Bowl,Taiwan,4,Asia
2996,Nissin,Cup Noodles Soup'D Up Roasted Chicken,Cup,United States,4,North America
2995,Uni-President,XO Sauce Stir Noodle Bowl,Bowl,China,4,Asia
2982,Samyang Foods,Big Bowl Chicken,Bowl,South Korea,4,Asia
2968,Acecook,Sendai Spicy Miso Ramen,Cup,Japan,4,Asia
2926,Myojo,Charumera Chanpon,Bowl,Japan,4,Asia
2895,Fox,D.J. Korean Tteokbokki Spicy Snack,Pack,South Korea,4,Asia
2874,Samyang Foods,Buldak Bokkeummyun Hot Chicken Flavor Almonds,Pack,South Korea,4,Asia
2859,Wu-Mu,Man Dashi Noodle Master Home-Cooked Noodles With Fried Bean & Meat Sauce,Pack,Taiwan,4,Asia
2852,Sapporo Ichiban,Nagasaki Chinatown Chanpon,Bowl,Japan,4,Asia
2848,Kizuki Ramen & Izakaya,Shio Ramen,Restaurant,United States,4,North America
2844,Vedan,Jhen Mian Tang Dry Noodles With Soy Bean Sauce,Pack,Taiwan,4,Asia
2828,Yum Yum,Tem Tem Tom Yum Seafood,Cup,Thailand,4,Asia
2824,Nissin,Cup Noodle Chili Chili Chili Tomato,Cup,Japan,4,Asia
2794,Mike's Mighty Good Craft Ramen,Vegetarian Kimchi Flavor Ramen Soup,Pack,United States,4,North America
2789,Mike's Mighty Good Craft Ramen,Spicy Beef Flavor Ramen Soup,Cup,United States,4,North America
2784,Samyang Foods,Jajang Buldak Bokkeummyun,Pack,South Korea,4,Asia
2772,Happy Noodle,Noodles With Minced Beef Sauce In Spicy Oil & Pickled Mustard Greens,Box,Taiwan,4,Asia
2751,Acecook,Pork Wantan Men,Pack,Japan,4,Asia
2737,Wei Lih,Chicken Flavor,Pack,Taiwan,4,Asia
2732,Nissin,Demae Ramen Korean Spicy Flavour Instant Noodles,Pack,Hong Kong,4,Asia
2729,Samyang Foods,Kimchi Song Song Ramen,Cup,South Korea,4,Asia
2724,Vedan,Double Bang Thick Pork Broth Noodle,Bowl,Taiwan,4,Asia
2716,JML,Yakisoba Sweet & Sour Pork Ribs Flavor,Tray,China,4,Asia
2709,KOKA,Signature Black Pepper Fried Noodles,Pack,Singapore,4,Asia
2702,Chuanbei,Sichuan Yibin Style Spicy Noodles,Tray,China,4,Asia
2700,Vedan,Jhen Mian Tang Spicy Hot Noodle,Pack,Taiwan,4,Asia
2698,Nissin,Cup Noodles Chilli Crab Flavour (More Crabtastic),Cup,Singapore,4,Asia
2695,Wei Lih,GGE Ramen Snack BBQ Cube,Pack,Taiwan,4,Asia
2689,Maruchan,Instant Lunch Udon Style Soy Sauce Flavor Ramen Noodle Soup,Cup,United States,4,North America
2677,Nissin,Hokkaido Miso Japanese Ramen,Pack,Singapore,4,Asia
2675,Myojo,Hyobanya Kakitama Udon,Bowl,Japan,4,Asia
2669,KOKA,Silk Instant Rice Fettucine Chicken Pho Flavor,Pack,Singapore,4,Asia
2654,Maitri,Vegetarian Hot Curry,Pack,Indonesia,4,Asia
2653,Mikka,Noodle Snack Sambal Balado Chilli Sauce Flavor,Pack,Indonesia,4,Asia
2647,Marutai,Nagasaki Chanpon,Bowl,Japan,4,Asia
2639,Maggi,Hot Heads Peri Peri Noodles,Pack,India,4,Asia
2598,Myojo,Western Style Kisune Udon,Bowl,Japan,4,Asia
2589,Nongshim,Mr. Bibim Korean Spicy Chicken Flavor,Pack,South Korea,4,Asia
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,Asia
2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,4,Asia
2561,Paldo,Premium Gomtang,Pack,South Korea,4,Asia
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,Asia
2547,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,Asia
2534,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,Asia
2518,Samurai Ramen,Umami Ramen,Pack,Japan,4,Asia
2507,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,Asia
2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,Asia
2484,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4,Europe
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,Asia
2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,Asia
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,Asia
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,Asia
2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,Asia
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4,Asia
2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,Asia
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,Asia
2389,Gefen,Imitation Chicken Flavor,Cup,United States,4,North America
2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4,Oceania
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4,Asia
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,Asia
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,Asia
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,Asia
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4,Asia
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4,Asia
2351,1 To 3 Noodles,Chatpat Masala,Pack,India,4,Asia
2350,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4,Asia
2331,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4,South America
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4,Asia
2325,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4,Asia
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4,Asia
2314,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4,Asia
2310,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4,Asia
2307,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4,South America
2306,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4,Asia
2300,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4,Asia
2295,Nissin,Cup Noodles Seafood,Cup,China,4,Asia
2288,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4,Asia
2280,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4,Asia
2261,Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,Japan,4,Asia
2250,Nissin,Demae Iccho Spicy XO Sauce Seafood Flavour,Pack,Hong Kong,4,Asia
2230,Marutai,Kuroma-Yu Tonkotsu Kumamoto Ramen,Pack,Japan,4,Asia
2229,Kang Shi Fu,Artificial Beef With Sauerkraut Flavour,Pack,Hong Kong,4,Asia
2224,Wai Wai,X-Press Flavour Of Pizza In Noodles Proprietary Food,Pack,India,4,Asia
2218,Tseng Noodles,Spicy Braised Pork Flavor,Pack,Taiwan,4,Asia
2191,Choumama,XO Scallops Sauce Dry Noodles,Pack,Taiwan,4,Asia
2189,Nissin,Demae Ramen Sesame Oil Flavour Cup,Cup,Hong Kong,4,Asia
2171,MAMA,Instant Flat Noodles Tom Yam Flavour,Pack,Thailand,4,Asia
2169,Happy Family,Vegetable Flavour Instant Noodles,Pack,Singapore,4,Asia
2166,JML,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,Pack,China,4,Asia
2154,Jingqi,Black Eyes Bean Original Noodle With Sesame Sauce,Pack,Taiwan,4,Asia
2136,Nissin,Demae Ramen Roast Beef Flavour Instant Noodles,Pack,Hong Kong,4,Asia
2131,Myojo,Mee Goreng Thai Tom Yum Flavour,Pack,Singapore,4,Asia
2128,Sapporo Ichiban,Taimeiken Yousyoku Yasangatsukutta Omumen,Cup,Japan,4,Asia
2116,Nissin,Instant Noodles Tom Yum Shrimp Saab Flavour,Pack,Thailand,4,Asia
2115,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4,Asia
2104,Wang,Rice Noodle Kimchi Flavor,Bowl,South Korea,4,Asia
2101,Samyang Foods,Pojangmacha Udon,Pack,South Korea,4,Asia
2100,Myojo,Mee Goreng Original Flavour,Pack,Singapore,4,Asia
2099,Sanpo,Yakibuta Ramen,Bowl,Japan,4,Asia
2096,Maruchan,Seimen Noukou Toro Tonkotsu,Bowl,Japan,4,Asia
2092,Doll,Instant Noodle Preserved Vegetable Flavour,Pack,Hong Kong,4,Asia
